month,new_col,Imbalance Price Quarter Hourly  [in EUR/MWh],Day Ahead Price hourly [in EUR/MWh]
1,1,267.633,184.77774193548387
1,2,245.89000000000001,188.26225806451615
1,3,205.90387096774194,190.92225806451614
1,4,234.9683870967742,196.38741935483873
1,5,264.97766666666666,202.31548387096774
1,6,258.2606666666667,210.58806451612904
1,7,316.364,218.18483870967742
1,8,327.19612903225806,218.30935483870968
1,9,299.8067741935484,220.24419354838707
1,10,207.7258064516129,220.17870967741936
1,11,192.19466666666668,220.09935483870967
1,12,212.1332258064516,219.12967741935486
1,13,224.2883870967742,213.7561290322581
1,14,172.91935483870967,208.73774193548385
1,15,200.90451612903226,204.49612903225807
1,16,225.66774193548386,203.4974193548387
1,17,226.67967741935482,198.5616129032258
1,18,181.65387096774194,192.34741935483873
1,19,209.73258064516128,186.85387096774195
1,20,177.60870967741934,185.1993548387097
1,21,168.25483870967741,178.77870967741936
1,22,167.14354838709676,173.13967741935483
1,23,172.2893548387097,168.08483870967743
1,24,176.5816129032258,168.98806451612904
1,25,139.87161290322578,165.35129032258067
1,26,153.14967741935484,162.89999999999998
1,27,148.55290322580646,161.01645161290324
1,28,122.10935483870968,158.90806451612903
1,29,123.46870967741934,153.7541935483871
1,30,128.55612903225807,147.8309677419355
1,31,139.0409677419355,140.32580645161292
1,32,155.1939285714286,141.59821428571428
1,33,131.3225,136.78
1,34,119.285,117.329
2,1,151.45607142857145,147.04142857142855
2,2,143.71464285714288,156.29250000000002
2,3,141.30464285714285,164.19785714285715
2,4,99.32071428571429,167.62892857142856
2,5,171.40464285714285,174.3460714285714
2,6,219.61999999999998,177.70035714285714
2,7,216.69035714285715,181.6032142857143
2,8,151.13464285714284,183.8867857142857
2,9,134.57714285714286,182.0917857142857
2,10,128.82714285714286,177.23785714285714
2,11,126.9632142857143,173.1467857142857
2,12,109.82214285714285,170.08285714285714
2,13,96.89214285714286,159.71821428571428
2,14,116.49321428571429,154.80857142857144
2,15,107.60642857142857,150.01464285714286
2,16,73.26214285714286,146.9367857142857
2,17,116.54214285714285,140.28357142857143
2,18,97.78678571428573,137.59964285714287
2,19,119.86,132.79857142857142
2,20,111.63464285714285,127.8875
2,21,120.77642857142857,128.2042857142857
2,22,119.68607142857142,129.96464285714285
2,23,139.21821428571428,130.18428571428572
2,24,124.60111111111111,129.52642857142857
2,25,118.56607142857142,125.18928571428572
2,26,82.4875,120.53785714285713
2,27,87.93535714285714,115.14785714285713
2,28,111.90928571428572,110.78357142857143
2,29,86.7247619047619,101.3552380952381
2,30,71.88076923076923,114.76076923076923
2,31,23.578,96.482
3,1,316.06709677419354,305.6541935483871
3,2,284.2951612903226,315.5164516129032
3,3,234.7232258064516,325.6996774193548
3,4,167.60870967741934,337.0987096774193
3,5,309.70193548387095,336.30870967741936
3,6,352.39290322580644,344.35806451612905
3,7,346.871,340.3090322580645
3,8,363.5893103448276,343.16225806451615
3,9,264.0774193548387,338.29548387096776
3,10,251.75096774193548,324.496129032258
3,11,206.55870967741936,304.68290322580646
3,12,164.8577419354839,294.3258064516129
3,13,216.5748387096774,290.2951612903226
3,14,187.86709677419356,282.1374193548387
3,15,217.0025806451613,275.3716129032258
3,16,196.67774193548388,264.58838709677417
3,17,162.1158064516129,259.6603225806452
3,18,175.57387096774193,258.3706451612903
3,19,202.7258064516129,258.2122580645161
3,20,170.79967741935485,253.71935483870968
3,21,170.42307692307693,263.84076923076924
3,22,146.26461538461538,256.95153846153846
3,23,133.5973076923077,249.07461538461536
3,24,180.1769230769231,241.13653846153846
3,25,204.6273076923077,240.31076923076924
3,26,244.32611111111112,265.90333333333336
3,27,323.7477777777778,348.4433333333333
3,28,315.19,245.47
4,1,296.57966666666664,225.906
4,2,345.9073333333333,227.61033333333333
4,3,336.21066666666667,229.07699999999997
4,4,286.10333333333335,227.68066666666667
4,5,219.94766666666666,226.665
4,6,270.24100000000004,222.06766666666667
4,7,250.962,218.61666666666667
4,8,209.19799999999998,209.69633333333334
4,9,178.91533333333334,206.80733333333333
4,10,150.95566666666667,203.21033333333332
4,11,115.257,199.23166666666665
4,12,160.736,194.52166666666665
4,13,178.31199999999998,194.18166666666667
4,14,172.15766666666667,186.48833333333332
4,15,175.645,182.196
4,16,191.17333333333332,172.80766666666665
4,17,178.707,170.20566666666667
4,18,151.5395238095238,159.25238095238097
4,19,168.76615384615386,140.45846153846153
4,20,139.7975,136.59
5,1,210.71161290322578,238.1077419354839
5,2,160.1822580645161,237.74774193548387
5,3,188.02967741935484,236.55580645161288
5,4,189.08800000000002,232.66935483870967
5,5,228.51000000000002,229.23129032258063
5,6,188.44774193548386,228.9893548387097
5,7,199.6993548387097,226.26193548387096
5,8,205.22451612903225,222.14193548387095
5,9,211.53774193548387,219.28129032258065
5,10,162.59645161290322,218.8932258064516
5,11,156.57129032258064,211.30645161290323
5,12,187.16709677419357,203.62806451612903
5,13,155.32419354838711,198.31
5,14,148.15933333333334,197.321
5,15,181.64736842105265,213.04736842105262
5,16,201.7788888888889,222.42333333333332
